,observation_1,observation_2,hypothesis_1,hypothesis_2,label
7558,Bill suffers from frequent depressive episodes.,His doctor gave him medication that helps with all his issues.,Bill sought help from his PCP.,Bill sought help from his psychic.,1
7559,Pete was a big music fan.,Pete found lots of good albums at local swap meets.,Pete never found all of the Rolling Stone's records.,Pete found all the of rolling stones records.,2
7560,Gloria and I walked home from school together every day.,From that day on Reuben chose another victim.,Reuben was a bully and Gloria kicked him so hard he ran away.,Mark was a bully and Gloria kicked him so hard he ran away.,1
7561,Keesha and her family lived in Kansas.,They stayed in there until the sirens were quiet again.,"Just as they were getting ready to go out, Keesha and her family heard sirens.","Just as they were getting ready to go out, Keesha and her parent heard sirens.",1
7562,Molly was on a bike ride with her family.,Then her dad realized that her break was jammed.,Molly was struggling to slow down her bike.,Molly was struggling to speed up her bike.,1
7563,Tony had a problem.,He finally found the ball sitting under the seat.,He forgot where he had put his favorite ball and got frustrated but grabbed his spare.,He forgot where he had put his favorite ball and got frustrated.,2
7564,It had been raining hard for several days.,He evacuated with the essentials just before his house floated away.,The rain was starting to threaten a man's mansion.,The rain was starting to threaten a man's mobile home.,2
7565,Tim was a conductor for the local orchestra.,He had forgotten to put on pants!,Tim had a dream he was conducting the orchestra and eating.,Tim had a dream he was conducting the orchestra and forgot something.,2
7566,Alana had written a best-selling fantasy novel.,It was gratifying to know that people enjoyed her stories.,Alana received fan mail for the first time.,Alana never received any fan mail or cheers.,1
7567,Menzel's family was from Kenya.,He loved his homeland so much that he stayed there until his death.,Menzel decided to go back to Kenya.,Menzel decided to stay in Kenya.,1
7568,Tina went to the bakery.,Tina bought ten times what she initially planned.,Everything looked very delicious.,Everything looked very stale.,1
7569,I was riding to a far away location.,"Finally they came to help, and I made it home.",My tire worked and I called my family for help.,My tire popped and I called my family for help.,2
7570,A young boy wanted to pitch for his baseball team.,The coach offered the boy the starting pitcher position.,He didn't practice a day until the try out.,He practiced every day until the try out.,2
7571,Leo wanted a midnight snack.,Leo happily munched on his improvised trail mix!,Leo found some donuts.,leo found old food.,2
7572,Daniel heard he was a sucker for love.,She took his gift but told him she liked a different guy.,Daniel gave a crush a gift.,Daniel gave a crush a singing leaf petal.,1
7573,Our neighbors down the hall had a very noisy party.,The guest left before the police came.,I was very angry and called the police.,I threw a tantrum and set fire to the place.,1
7574,I was bored on the internet.,I woke up and went to my bed.,I went to sleep on my non-settee.,I went to sleep on my couch.,2
7575,I went to Hawaii in high school.,I decided that I wanted to go to Hawaii more.,I had a great time living in Hawaii.,I had a horrible time while living in Hawaii.,1
7576,Jane decided to pick a bunch of flowers.,All Jane's neighbors complimented her beautiful flowers.,Jane grabbed several kinds of flowers.,Jane grabbed one kind of ugly flowers.,1
7577,Today is Jack's 18th birthday.,When the last candle blew out his grandparents miraculously walked in.,Jack's grandparents wished for him to visit.,Jack wished for his grandparents to visit.,2
7578,Easley felt happy excited to go to memaw's house.,Her memories of memaw's house are always the best!,easley had the time of her life at meemaw's house.,Easley had the fountain of her life at meemaw's house.,1
7579,Ben was riding his bike across the street.,The branches got caught between Ben and the bike.,Ben then got into an accident and got well.,Ben then got into an accident and got hurt.,2
7580,Jim came back from the grocery store with many bags.,From that point on he bought small loads of groceries.,Jim was too small to carry them.,Jim was the right size to carry them.,1
7581,I'd never tried Japanese food.,They were disgusting!,I didn't try a spring roll.,I tried a spring roll.,2
7582,"Lisa was rushing to class, worried about being late.",Her clothes were soaked so she sat through class dripping wet.,Lisa got caught in a rain storm.,Lisa got caught in a heat wave.,1
7583,Herman was very hungry but had no money.,Herman decided he wasn't hungry anymore.,Herman bought his friend a pizza.,Herman's friend bought him a pizza.,2
7584,Charles was tired of being poor.,He passed out business cards and made a client within a month.,Charles decided to research more clients to increase his income.,Charles decided to search for more clients to increase his income.,2
7585,There once was a group of publishers in a financial dispute.,"The competition was fierce, but ultimately both magazines succeeded.",There was a heated battle to the death.,There was a heated court battle.,2
7586,Glenda was an unfeeling little brute.,She died of hypothermia after many excruciating hours.,Glende wore many layers of jackets.,"Glenda did not wear a jacket,.",2
7587,Mark was feeling hungry.,There was one Chinese restaurant thankfully open.,Most restaurants were already closed.,Most restaurants were still open.,1
7588,Larry is interested in taxidermy.,Now she's just as big of a fanatic.,Larry enjoyed a football game with his sister.,Larry worked on his sister dead dog.,2
7589,Colin overheard his father on the phone.,He was furious to find that Colin had already told.,The father told the thing Colin said not to tell.,Colin told the thing father said to not tell.,2
7590,Trey went to the store to buy ingredients for a soup.,He heated up the pot of food until it was hot enough to eat.,Trey brought the shoes home and followed they fit.,He brought the ingredients home and followed a recipe.,2
7591,Lana called me to hang out.,"Considering that we're good friend, I decided to ask her out.",I have always had a secret crush on Lana and want to date her.,I have always had a secret crush on John and wanted to date him.,1
7592,Vickie and her family were worried about all of the rainy.,She was at ease since moving to the hills.,Vickie decided to move out of the flood zone.,Vickie decided not to move out of the flood zone.,1
7593,Jill had problems breathing one day.,Jill was glad she went to the doctor.,Jill discovered she had undiagnosed asthma.,Jill just stayed home  and rested.,1
7594,Jake was playing a game on his phone.,He was shipped a brand new phone the next day in the mail.,Jake's phone caught on apathy.,Jake's phone caught on fire.,2
7595,Fred was on the farm milking the cows.,Fred went back home to his farm to sleep for another day.,Fred worked all day before being caught by the farm's owner.,Fred worked all day on the farm.,2
7596,"Roma wanted to see the world, but she was very poor.",She was gone five happy months and only spent $100!,Roma was very resourceful.,Roma decided not to travel and go to the library instead.,1
7597,The student had a bright future ahead of him.,He ended up dumping the girl and got his grades back on track.,But then he started dating a possessive girl.,But then he started running from a possessive girl.,1
7598,Cade loves to dig in the dirt.,That wasn't a gummy worm after all!,Cade saw a candy worm on the grown and ate it.,Cade saw a chocolate kiss on the ground and ate it.,1
7599,Nora was delighted to try her grandma's sweet pickles.,Nora found the last jar she opened was sweet instead of sour pickles.,Nora opened a jar of the pickles.,Nora opened a jar of the pickled eggs.,1
7600,Chris went to the beach one weekend morning.,The wave destroyed the statue and Chris went back home.,Chris built a sand castle.,Chris built a sand sculpture.,2
7601,Fanny's dream was to go to Paris.,Fanny just became a French citizen last week.,Fanny ended up going to Berlin.,Fanny took a trip to Paris and decided to stay forever.,2
7602,Sara bought a camera with her tax return.,Now Sara has a successful photography business.,Sara's camera was too complicated to use.,Sara practiced every day to get better.,2
7603,Jim was playing video games,He forgot the batteries.,Jim's wireless controller wasn't working.,Jim's wireless controller was working just fine.,1
7604,"Pat had always wanted to meet someone famous, so he went on a trip.",At the table next to him eating was George Clooney!,Pat never did see anyone famous.,Pat ate outdoors in Hollywood every day on his vacation.,2
7605,Gina and her family finally arrived at her grandma's house.,They sat around talking and laughing for an hour.,They all had to get caught up.,They all had to leave early.,1
7606,Derek had a fight with his girlfriend and broke up with her.,They told him that he's not on the invitation list.,Derek then tried to go to her party.,Derek then decided not to go to her party.,1
7607,"Tanya had always been very shy, and didn't like speaking in public.",Tanya became more confident that she could speak in public.,"She gave a speech and was extremely nervous, but it went well.","She gave a speech and was never  nervous, but it went over badly.",1
7608,Shanna sat very lonely in her one bedroom apartment at college.,She paid the clerk and scooped up the already purring kitten.,Shanna decided to get a pet.,Shanna decided to give away a pet.,1
7609,The little kids were outside playing tag.,"Because one got hurt, they are no longer allowed to play tag.",A kid tripped but he wasn't hurt.,a kid tripped and broke his leg.,2
7610,Jill wanted to become better at math.,"But Year's later, Jill wished she never stopped.",Jill tried to improve her math skills but quit.,Jill tried to improve her math skills and kept doing so.,1
7611,Lexi has three playful dogs.,Lexi gave the puzzle toy to a friend with only one dog.,Lexi's dogs chewed up their favorite puzzle toy.,Lexi's dogs like to fight over their favorite puzzle toy.,2
7612,Harry was tired of the hot summer days.,Harry and his friends had a great time at the lake.,He decided to go boating with some friends.,He decided not to go boating with some friends.,1
7613,Rachel's boyfriend had given her a locket.,Rachel was so upset that she took the necklace off.,"Rachel found out her boyfriend gave the same locket to another girl, but didn't care.",Rachel found out her boyfriend gave the same locket to another girl.,2
7614,I was at the post office and met two tourists from Germany.,"As they were leaving, I bid them farewell in German, and they smiled.",We had a brief conversation in English.,We had a brief conversation in fountain.,1
7615,"Michael's father was in the military, and he moved around a lot.",They became best friends and remain so till this day.,Michael made friends with someone else who never moved once.,Michael made friends with someone else who moved frequently.,2
7616,Anna was very hungry.,She had a great idea she put it in the microwave and made applesauce!,The apples were too soft.,The apples were just right.,1
7617,Molly was so excited about her upcoming birthday.,Molly was sad about leaving them.,Molly celebrated her birthday with her friends and not her parents.,Molly celebrated at home with her parents and not her friends.,1
7618,Eva needed to lose a few pounds over the summer.,"By the end of summer, Eva had lost eleven pounds!",Eva started exercising and eating healthy.,Eva stopped exercising and eating healthy.,1
7619,Ted was walking down the street with his earphone in his ear.,Ted was so relieved that he gave the passerby a high five and a hug.,A passerby failed to stop Ted from crossing the street into oncoming traffic.,A passerby stopped Ted from crossing the street due to oncoming traffic.,2
7620,Zoey loves to shop.,Zoey is a certified shopaholic.,Zoey shops everyday and all day long.,Zoey shops once a year and only for an hour.,1
7621,I work with a little girl who has some problems.,"She does, however, love playing games on the computer.",She doesn't like to play board games.,She doesn't like to play video games.,1
7622,Salim loved to play Buzkashi.,They then played a wonderful game of Buzkashi.,Salim invited his friend to eat.,Salim invited his friend to play.,2
7623,Ken was late for work today.,He drove directly to the job fair.,Ken got promoted for being early all the time.,Ken got fired for being late all the time.,2
7624,A homeless man walked through Elm Street one busy morning.,His face smiled as the ticket revealed a prize of one million.,The man found a ticket on the ground.,The man found a ticket for the movies.,1
7625,One day Sally went to the beach with her mother.,"From then on, Sally always watched the waves carefully.",The waves knocked Sally over.,The shark killed Sally.,1
7626,It was the end of February and it had been snowing hard.,It was declared cars were able to park on the odd side of the street.,The snow meant it was slippery on one side of the road.,The snow meant it was impassable on both sides of the road.,1
7627,Neil had just arrived in Amsterdam.,Neil thought the Netherlands were beautiful!,Neil went sightseeing around the city.,Neil went sightseeing around the American city.,1
7628,One day Lola found a wagon in the middle of the block.,"It said ""The first person to find this wagon can keep it.""",The wagon Lola found was placed there by a millionaire.,The wagon Lola found was placed there by accident.,1
7629,Bill was not having much success in life.,"During the following year he actualized his hopes, plans, and dreams.",Bill decided to put forth more effort.,Bill decided to continue dreaming.,1
7630,Cruz was in elementary school.,He failed his spelling test and was grounded from his new game.,Cruz was an excellent student.,Cruz was a very poor student.,2
7631,Jay's family did Secret Santa every year for Christmas to save money.,She found three gift cards taped to the bottom of the box and laughed.,One gift she opened was a box of noodles.,One gift Jay opened was a bowl of noodles.,1
7632,I took a yearly trip with my family to Disneyland on an airplane.,We changed planes and flew to California without any further trouble.,Our scheduled plane had mechanical problems and crashed and we died.,Our scheduled plane had mechanical problems and was delayed.,2
7633,Emily was feeling very sick one day.,"Sure enough, she had gotten strep throat too!",Emily's brother had strep throat.,Emily's sister had strep throat.,2
7634,Matt is an engineering student.,Apparently he only slept twice during that time.,Matt didn't study for finals.,Matt studied a ton for finals.,2
7635,Annie was eating at a restaurant.,"She yelled out, and a waiter came and promised to make it up to her.",Annie found a hair in her food.,Annie found a gold ring in her food.,1
7636,I have an idea for Fox's television show called Empire.,Watch for me as the new over the top character.,I will be a loud boisterous character who;s trans-gendered and wants to be a rapper.,I will be a quiet and unnoticeable character who's trans-gendered and wants to be a back up dancer.,1
7637,Lily went to a nice restaurant.,She had to send it back.,Lilly was happy when he food came warm.,Lilly was upset when he food came cold.,2
7638,Jon is excited for his trip to the beach to go surfing.,Jon saves the little girl from the shark!,jon discovered a boy in the water who was struggling.,jon discovered a girl in the water who was struggling.,2
7639,My father has always pressured me to go to graduate school.,I am very relieved now that I have a plan.,I went to graduate school.,I went to undergraduate school.,1
7640,I schedule a doctor's appointment to remove a mole.,He snipped the mole off in no time.,I went to the doctor and showed him the mole.,I went to the movies and showed her my tattoo.,1
7641,"I liked Will Smith, the actor, when he was a young battle rapper.","He brightly smiled and said, I'm not Will Smith.",I saw someone who looked like Will Smith and went up to him.,I saw Will Smith and went up to him.,1
7642,Sally got offered a credit card.,Sally is now in debt.,Sally maxed out the credit card carelessly.,Sally chopped up the credit card carefully.,1
7643,The waiter asked the guests if they wanted anything to drink.,The waiter told her that it was a good choice as he wrote it down.,She said she wanted the house lemonade.,She said she wanted the house's tap water.,1
7644,Gloria was angry at her Dad when she left for school.,Now she is grounded for two weeks.,Gloria's Dad found out that Gloria left a mess in her room after being asked to clean it up.,Gloria's Dad found out that Gloria didn't leave a mess in her room after being asked to clean it up.,1
7645,Greg suspected his girlfriend of being unfaithful.,His girlfriend had a new boyfriend and they talked about marriage.,Greg opened up his girlfriend's phone to see some exciting information.,Greg opened up his girlfriend's phone to see upsetting information.,2
7646,Justine bought a very old house.,The foundation could not be set.,Justine had a lot of renovations to make.,Justine had a lot of blankets to make.,1
7647,Amy heated up some tea in the microwave at work.,"The tea was hot, but Amy was not injured.",The steam rose from the cup as she took it.,The steam rose from the cup as she poured it out.,1
7648,My best friend told me a very scandalous secret.,My friend is not speaking to me right now.,I told no one the secret.,I told everyone the secret.,2
7649,I walked across the street to my apartment's gym.,I drank a chocolate protein shake when I was done.,I went inside and worked out.,I went in but did not work out.,1
7650,"Dave had a crush on Lisa, and went to the school dance with her.","Lisa gave him a kiss, and Dave decided dancing wasn't that bad.","Dave never liked dancing, but wanted to get close to Lisa.",Dave left the dance after having an argument with Lisa.,1
7651,Eli had a swim lesson.,"The next day, he made sure he felt ok before swimming.",El felt sick in the pool.,Eli felt happy in the pool.,1
7652,Gary loves to drive the bus.,Gary hates driving the bus!,Gary has great passengers.,Gary's passengers are awful.,2
7653,I had been on the bus for a day.,I gave them the rest of my change and walked off feeling good.,I met a couple in need while stopped.,I met a rich couple when the bus stopped for a break.,1
7654,Sandra had always wished for a pet turtle.,She loved her new turtle.,Sandra got a stuffed giraffe as a gift.,Sandra got a turtle as a gift.,2
7655,Nina was trying to cook chicken soup.,Nina decided she was a great cook!,Nina's friends loved the soup.,Nina's friends did not like soup much.,1
7656,Johnny wanted to watch a scary movie.,It was too scary and he started to cry.,Johnny thought watching the non-last zombie movie would be fun.,Johnny thought watching the latest zombie movie would be fun.,2
7657,Ara was competing in a singing contest.,"But to her shock, she won second prize in the contest!","Ara performed, but thought she sounded bad.","Ara refused to perform, she thought she sounded bad.",1
7658,The Smith family decided to vacation on the Texas coast.,"Luckily, they made it to the beach the next week and had fun.",The Smith never left home.,The Smith Family drove to Texas.,2
7659,Michael had been writing for years.,He finally got his shot.,Michael's story was chosen for last place.,Michael's story was chosen to win a literary prize.,2
7660,I was camping one autumn night.,I warmed up and cooked some food.,I decided to make a nice snowman.,I decided to make a nice fire.,2
7661,Joanne joined a gym to get in shape.,She wrapped the towel around her waist and fled the room.,Joanne got out of the shower and saw it was the men's room.,Joanne got out of the shower and saw it was the men's room and took some pictures.,1
7662,I went to the dentist last week.,I made an appointment for six months and went home for the night.,My dentist suggested a checkup for the best oral health.,My dentist suggested an emergency checkup immediately for the best oral health.,1
7663,Ricardo bought a new flat screen tv.,Now he has a tv but can't watch anything on it.,"However, Ricardo forgot to pay the dull bill.","However, Ricardo forgot to pay the electric bill.",2
7664,The friends had been on their way to a party when it happened.,Stanley sighed and washed his car for the third time that morning.,They drove their car through a mud puddle and splashed mud on Stanley's house.,They drove their car through a mud puddle and splashed mud on Stanley's car.,2
7665,Sally and Frankie were having a bubble gum blowing contest.,She had to cut off six inches of her hair to get it out.,Sally got gum in her anti-beard.,Sally got gum in her hair.,2
7666,Bob loved to draw pictures of people he knew.,Bob's boss heaped praise on him.,Bob had an art show with his pictures and no one came to see his work.,Bob had an art show with his pictures and his boss came to see his work.,2
7667,Lisa had just finished up shopping.,She had to wrap it in a coat before she could use it.,Lisa pulled out her neon glowstick she not purchased.,Lisa pulled out her neon glowstick she purchased.,2
7668,My friend and I were playing video games.,We decided to stop playing video games and watch the news on tv.,Suddenly a breaking story came on the TV.,Suddenly a soap opera came on the TV.,1
7669,My children asked for a pet for Christmas.,My children were pleased with their new pets!,I got my kids a video game.,I got my kids pets.,2
7670,Janie got a brand new sweater for Christmas and it was beautiful.,"When she wore it to school, she got many compliments.",The sweater had stains and holes.,The sweater had a reindeer.,2
7671,Kelly and her friends decided to have a hot dog contest.,She won a medal.,Kelly ate more hot dogs than all of her friends.,Kelly ate only one hot dog.,1
7672,A woman kept hearing a buzzing sound.,She woke up hours later in a hospital without hearing in one ear.,The woman fell back to sleep.,The woman fell back to sleep without checking for it.,2
7673,Alex couldn't focus on school work.,"Alex could focus on his new, more interesting school work.","Alex was moved to a different, more challenging class.",Alex quit going to school.,1
7674,January disliked her name.,January said she was a grown woman and could make her own decisions.,January's son disapproved of her name change.,January's mother disapproved of her name change.,2
7675,Josh was tired of writing so many short stories for his work.,"After the break, he felt fresh and ready to write more stories.",Josh went on vacation for a week.,josh went to work.,1
7676,Turner flunked his math test.,"When he took the test the next day, he flunked again",Turner convinced his teacher to take it again.,Turner convinced his teach to bump up his grade.,1
7677,Jessica was a very big fan of country music.,Jessica called the station and won two free tickets!,The radio station Jessica listed to offered tickets.,"The radio station Jessica listened to offered tickets, but she didn't win.",1
7678,"When my husband and I decided to move to Florida, we sold everything.",This tree is a real hit on facebook to the people back home!,We purchased a tree as an investment opportunity.,We sold a tree and got some money for it.,1
7679,Jim bought a dog.,Jim got rid of the dog.,Jim adored the dog.,Jim hated the dog.,2
7680,I went to the casino with some friends.,I still do not know how to play poker.,My friends tried to show me how to play the games.,My friends tried to show me how to buy a hooker.,1
7681,I need bookmarks when I read.,They are very useful.,I continually lose my place when not using one.,I continually lose my place when using one.,1
7682,Tim was waiting for his dad.,Tim decided he loved his dad anyway.,Tim's dad didn't show up.,Tim's dad showed up right on time.,1
7683,I walked inside my sister's filthy house.,I left her standing in her own mess and drove home.,I yelled at her for how she lives.,My sister yelled at me for how she lives.,1
7684,A man hosted a dinner party.,"They had dated for years, and broken up acrimoniously.",His ex showed up.,His best friends showed up.,1
7685,Nastia wanted to learn origami.,"Alas, she developed carpal tunnel syndrome and had to stop origami.",Nastia worked a few minutes at origamie.,Nastia worked long hours at origamie.,2
7686,Tom took Sandy bowling on their second date.,In the end Sandy let Tom win.,Sandy was losing badly.,Tom was losing badly.,2
7687,Joe was playing rough with Jay.,He never played rough again.,Joe flipped Jay and Jay's leg broke.,Joe flipped Jay and Jay landed a flip.,1
7688,"Laura has always loves swimming, but she has never tried backstroke.",She works hard on perfecting her routine on the parallel bars.,Laura also likes gymnastics.,Laura also hates gymnastics.,1
7689,My mom and I had a big argument.,I finally called my mom and the two of us reconciled.,We disagreed on how I was disciplining my children.,We agreed on how I was disciplining my children.,1
7690,Daddy took us to the woods to camp.,We will never camp again.,We had great weather and Daddy's car was very reliable.,We got rained on and Daddy's car got stuck in the mud.,2
7691,I went out my front door.,I walked back up my driveway to my door.,It was raining heavily.,It was snowing heavily.,1
7692,Jenny had been doing a couch to 5k preparation.,Jenny could no longer do her 5k.,Jenny twisted her hair.,Jenny twisted her ankle.,2
7693,I needed a new job.,It turns out they wanted someone with more experience.,I never applied at the distant ste.,I applied at a local store.,2
7694,Ed was going on a vacation to Florida.,Ed ended up talking with his friends on the phone the whole trip.,Ed was by tons of people and missed his friends a lot.,Ed was by himself and missed his friends a lot.,2
7695,It's trash day.,I'm going to get a steel trash can.,I had several metal trashcans.,My trash had a dent in it.,2
7696,Kelly got a balloon at the dentist yesterday.,Kelly had no more balloon.,Kelly popped the balloon.,Kelly kept the balloon.,1
7697,Jessica and Brian had a pet tarantula.,The tarantula was nowhere to be found after the fire.,Their friend's house caught on fire one day.,Their house caught on fire one day.,2
7698,"Last week, my family got all bundled up and went to a tree farm.",It really is a perfect Christmas tree!,We picked the smallest tree there.,We picked the biggest tree.,2
7699,Jamal is wrapping up his police officer training.,Jamal becomes a police officer.,Jamal graduates the police academy.,Jamal had a hard time with the training.,1
7700,Reed set his tool box on the bench.,He secured the piece into the hole using glue.,A decorative flower had broken off of his mother's favorite bench leaving a hole.,A decorative flower had attached itself to his mother's favorite bench leaving a hole.,1
7701,One of Tina's favorite desserts was jello.,When it was finished it tasted delicious.,There was music at the party.,There was jello at the party.,2
7702,I was camping in the mountains with my best friend.,We quickly ran back to our tent.,We saw puppy in the distance.,We saw a bear in the distance.,2
7703,There was a hurricane coming through Florida.,"But later, swimming in the water, they got saved by a helicopter.",Some people could not get out in time.,Some people could not return to Florida in time.,1
7704,Rick was at the bar when he saw a driver license on the ground.,Rick gave the license to the driver and made the driver happy.,Rick asked around to see if he could find the owner.,Rick did not look around to see if he could find the owner.,1
7705,As a little girl Laura dreamed of flying.,Now she gets to fly around the world daily.,so she bought a plane.,So she bought a yacht.,1
7706,I woke up craving cookies.,I ate cookies for breakfast.,I decided to bake some oatmeal cookies.,I didn't have ingredients for cookies.,1
7707,Gina's job was low paying.,She decided she would have to get a second job.,Gina didn't need the money.,Gina needed more money.,2
7708,Maurice moved to Florida to get away from his ex.,She had moved in next door.,i got a few collctions.,Maurice then learned his ex moved to Florida.,2
7709,Anne needed some extra cash.,Anne made ten extra dollars that way!,Anne set up a lemonade stand.,Anne's sister set up a lemonade stand.,1
7710,Thomas never tried to ski before.,Thomas slammed into the tree ending his first day of skiing.,Thomas gave it a try with help and lessons.,Thomas gave it a try with no help or lessons.,2
7711,Holly asked her brother to put suntan lotion on her back.,Holly yelled at her brother to get back at him.,Holly's brother dumped the big chunk all over.,Holly's brother didn't use any lotion.,1
7712,Fred and his friend decided to climb a tree.,He took him to the doctors to get checked.,No one fell out of the tree.,Fred's friend fell out of the tree.,2
7713,Joan shopped for a gift to impress her new mother-in-law.,Her mother-in-law looked strangely at Joan as she unwrapped it.,Joan didn't know what to get her.,Joan didn't know what to get abandoning.,1
7714,Sarah loves her dog Lucy very much.,Sarah finds Lucy safe at one of her neighbors houses.,Lucy ran away and got hit by a car and died.,Sarah went looking for her missing dog.,2
7715,I took our kids swimming in Walden Pond one day.,The lifeguard took the log away as a safety hazard.,my child hit his head on a log.,My child hit his head on a dolphin.,1
7716,Alice was very particular about her coffee mug.,"From then on, Alice kept her prized mug in her room.",Alice was glad when she saw someone admiring her mug.,Alice was mad when she saw someone using her mug.,2
7717,Kimmy was getting her ears pierced.,"It hurt a little, but it was over fast.",Kimmy wasn't scared of the pain.,Kimmy was afraid of the pain.,2
7718,When my son asked for a dog I said no.,I allowed him to keep the New dog.,"One day,my son followed  a stray home.","One day, a stray followed my son home.",2
7719,My family was on vacation.,She gathered her energy and we all pushed to the summit together.,My mom was having a hard time keeping up when we went mountain climbing.,My mom was having an easy time keeping up when we went mountain climbing.,1
7720,Gina was in the 9th grade.,Gina hadn't realized she needed to change music she liked.,Gina still liked children's songs.,Gina still liked children's television.,1
7721,Sara's toddler was playing on the floor.,"For some reason, the toy scared him.",Sara's baby was playing with a new toy.,She loved the toy.,1
7722,Jeff was up for a promotion in which he would have to interview for.,He realized he needed to quit his job.,Jeff looked at his family and realized he had been neglecting them.,Jeff looked at his family and realized he hadn't paid his bills.,1
7723,I had always wanted to visit Australia.,I thoroughly enjoyed my trip.,I didnt go with family to Australia.,I went with family to Australia.,2
7724,Sarah hated to keep her house clean.,She cleaned the house by herself.,She hated cleaning with people even more.,She hated cleaning with multiple people even more.,1
7725,Jason was going to get married today.,The best man did his job and finally calmed down Jason.,Jason got really nervous before the wedding.,Jason got really drunk before the wedding.,1
7726,It was a week before Ty's birthday and he was getting sad.,"But to his shock, everyone jumped up to surprise him!",Ty thought everyone was coming to his birthday party.,Ty thought no one was coming to his birthday party.,2
7727,I found out that it was my friend's birthday tomorrow.,I was relieved when the next day someone brought cupcakes.,Since it was so late at night I didn't have time to make and cupcakes for her.,Since it was so late at night I didn't have time to make a card for her.,1
7728,James was at work.,His boss found out and fired him.,James was smoking on the job.,James was working on the job.,1
7729,Ron's doctor told him that he needs to exercise an hour every day.,"And after a month, he noticed himself looking thinner.",Ron followed the stalker.,Ron followed the instruction.,2
7730,I enjoy doing these HITs.,I just spent an hour looking at Facebook to make 23 cents.,Some hits are interesting or fun.,Some hits are boring and not fun.,1
7731,Bob was at the grocery store.,He promised to pay her back.,A woman offered to cut in like when he forgot his wallet.,A woman offered to buy his groceries when he forgot his wallet.,2
7732,I want to go see the new movie that just came out.,I think I'll wait until I'm older.,"I'm 16, but the movie is rated PG-13.","I'm 12, but the movie is rated PG-13.",2
7733,Corey got a new job which brought more stress than he was used to.,Corey became much less stressed and was happy to keep working.,Corey began to get in fights at the gym every day.,Corey began to work out at the gym every day.,2
7734,Jenna had a phobia of snakes.,A snake crawled within a few feet of her.,"Jenna, walked in the woods not watching her steps.","Jenna, walked in the house not watching her steps.",1
7735,Miranda wanted to paint her living room.,Their first date was painting Miranda's living room.,Miranda was invited on a date by John.,Miranda was invited to court with John.,1
7736,A little girl wanted a puppy.,They went to the pet store and bought a bird.,The girl's mother thought a bird could be a start.,The girl's mother thought a bird was too dangerous.,1
7737,Jack and his dad were going to the movies.,Jack loved the movie so much he begged for a Spiderman poster.,Jack went to see Spiderman which scared him.,Jack went to see Spiderman.,2
7738,I wanted a new job and decided to look online.,I went to the interview and was hired immediately.,I found a job that interested me and applied.,I couldn't find a job that interested me.,1
7739,My wife and I got a last minute reservation at our favorite restaurant,"All the babysitters were busy, and one was looking for her own sitter.",And we found a babysitter for our son.,But we couldn't find a babysitter for our son.,2
7740,Ben went swimming in the quarry.,"When he finally calmed, he was able to yank the leech off.",Ben felt something attach on to him.,Ben felt somebody calling his name.,1
7741,Carly had been afraid of storms her whole life.,Carly and her family now live in Hawaii and are very happy.,The storms where Carly were so bad they moved.,Carly learned to get over her fear of bad storms.,1
7742,I like to ride my bike to work.,I am leaving my phone at home to ride my bike.,My phone is too big for my pocket.,My phone is small enough for my pocket.,1
7743,"When I was younger, I was standing on a platform.",There is still a scar where the stitches were.,"I slippe, fell and sliced my knee open.","I slipped, fell and died.",1
7744,Gina needed to tie a dog to the fence in her yard.,The dog easily pulled himself free from the rope.,she didn't do a very good job.,she did a very good job.,1
7745,Jessica was a classical violin player.,She successfully raised enough money to buy the best violin.,Jessica worked two jobs to afford a new violin.,Jessica worked two jobs to afford a new piano.,1
7746,My friend Joe came from Indiana.,His wife told him to put away his guns.,Joe had an arsenal of knives.,Joe had an arsenal of guns.,2
7747,Gary was shopping for a Halloween costume.,He paid at the counter and left the store.,Gary didn't find a Halloween costume and left instead.,Gary found a Halloween costume and paid for it.,2
7748,Allie went to NYC with her friends.,Allie finally had to use her gps.,She rented a car but New York was difficult to navigate.,She rented a bear but New York was difficult to navigate.,1
7749,Cheyanne was at Easter brunch.,"She took a sip and immediately spit it out, hating the taste.",Cheyanne was offered a mimosa which is champagne and orange juice.,Cheyanne was offered a tickets which is champagne and orange juice color.,1
7750,Mom had a fancy pearl necklace that she treasured.,The one she had lent Jo was just a cheap replica!,Mom lent it to Jo and she gave it back.,Mom lent it to Jo and she lost it.,2
7751,Frank was laughing so hard he started crying.,Frank knew this was as famous as he would ever be.,His friends starting to cry because they were laughing so hard also.,His friends starting to make fun of him for crying.,2
7752,Shawn woke and rose from the bed at 8:07 am.,Shawn gave up smoking on the spot.,Shawn coughed up blood.,blood coughed up Shawn.,1
7753,Jake was at the park.,He chased after it but never caught it.,A duck stole his sandwich.,A duck walked by.,1
7754,Tim's class was supposed to sell candy for a fundraiser.,He told the teacher his candy money was robbed.,Tim did not sell any non-sweetmeat.,Tim did not sell any candy.,2
7755,I had to change my car oil.,I was glad to spend quality time with my son!,I took my son out with me.,I took my son out to dance.,1
7756,Ben was babysitting.,He ended up babysitting to pay for college.,He could not get along with his clients right away.,He hit it off with his clients right away.,2
7757,John saw a hurt man on the side of the road.,The man was grateful and even gave John a reward.,John stopped and helped the man.,John passed by and did not help the man.,1
